person,id
Caroline B. Thompson,T9685
Ethel C. Dunham,D1666
Louise Pearce,P9944
Martha Tracy,T3430
Emily Emmart,E7806
Anna J. Cannon,C7825
Natasha Goldowski Renner,R8582
Louise Frazee,F3029
Hal Downey,D8098
Mildred Cohn,C3712
Charles H. Bunting,B4043
Mrs Buchanan,B1141
Vicki L. Chandler,C7484
Franz Boas,B7703
Elizabeth Stewart,S3633
Anna Foa,F1277
Regina C. Beck,B3065
Maxine F. Singer,S9998
Nina V. Fedoroff,F5935
Cynthia Pierce-Chase,P6170
Gail L. Miller,M8841
George Richards Minot,M1830
Doris A. Murray,M6374
Floyd M. Feldmann,F4291
Bertha Van Hoosen,H3721
E.V. Cowdry,C1220
Mabel V. Seibert,S8953
Oksana Lycakowakuj,L7865
Anne H. Plettinger,P5762
Hadassa Degani,D0300
Esmond R. Long,L5983
Lydia Edwards,E1824
Esther Richards,R2131
Dennis W. Watson,W6885
Mary Sherwood,S6310
Theodor Svedberg,S6313
Maria Erecinska,E0811
C. H. Boissevain,B7566
William L. Brown,B5901
Lisa Meitner,M7781
Ruth Breitwisser,B6863
Dorothy Wrinch,W0511
Cecil K Drinker,D5271
Hannelore Diefenbach,D2880
Mary Osbakken,O2490
Hertha Sponer,S6543
Nina Choucroun,C9329
Florence Rena Sabin,S4021
Ann Ginsburg,G9939
Nina Simmonds Estill,E4473
Jessie L. King,K6542
Sarah Tower,T1732
Eva Soto Figueroa Leake,L6816
Mary L. Petermann,P4798
Jules Freund,F0968
Austin L. Joyner,J9462
William Charles White,W7601
June Taylor,T1847
Deborah Dunaway-Mariano,D3076
Benjamin Burr,B2746
Gerty T. Cori,C0848
Elsie S. L'Esprence,L2449
Peter Starlinger,S7361
Lillian Welsh,W8655
Nelle S. Noble,N4112
Rosette Coidan,C0046
Ellen Swallow Richards,R7244
J. W. Williams,W4384
Alice Hamilton,H7808
"Catherine Macfarlane,",M7261
Margaret Pittman,P9982
Almiro Blumenschein,B7277
Fran Adar,A6107
Barbara J. Garrison,G1018
Christine Essenberg,E8224
Lovie Taylor,T0748
Lizanne Bolinger,B5555
Dorothy K. Daspit,D2849
Marion Hines,H3416
Nina Simmonds,S1766
Mamie Cameron,C2814
Sarah Ratner,R1515
Marcus M. Rhoades,R8890
William Osler,O3936
