person A,id A,person B,id B,connection,collection item,date,notes,original data,,,connections list,,color codes
Florence Rena Sabin,,Ellen Swallow Richards,,women appearing in letters,Naples Table Association Data,,,"The Ellen Swallow Richards Prize given to Marie Curie. While Richards was dead at the time the prize was given, her scientific legacy of support for women scientists lived on in the prize.",,,,,
Florence Rena Sabin,,Marie Curie,,women appearing in letters,"Naples Table Association, Box 28",,,Curie invited to speak at the Naples Table Association event giving a woman of science the Ellen Swallow Richards Prize,,,,,
Florence Rena Sabin,,Ida Hyde,,women appearing in letters,Naples Table Association,Box 29,,Ida Hyde was one of the first women to start the Naples Table Association. This was after she studied in Naples with Dr. Dohrn and found it to be very open to women. She remained associated with the table until 1930s.,,,,,
Florence Rena Sabin,,William Osler,,mentor relationship,,,,,,,corresponded with,,not in biographies list
Florence Rena Sabin,,Carrie B. Fuld,,mentor relationship,"""F 1919-1941 folder""",,,"Carrie B. Fuld, wife of Felix Fuld, writes that she feels she ""discovered"" Sabin long ago. Letter dated Dec 10, 1935 in ""F 1919-1941 folder""",,,recommends ,,check again in archives
Florence Rena Sabin,,Maude E. Abbott,,corresponded with,,,,Maude Abbott held posts at Medical Museum and McGill University. Sabin and Abott wrote to each other about posts for women students,,,"received letter of recommendation about (note - sometimes these were not official letters, but more quick notes that ""I recommend [x] for [y]"" when talking with friends",,
Maude E. Abbott,,Louise Frazee,,received letter of recommendation about,"Series I, Box 1, Abbott, Maude E. folder, letter dated June 6, 1917",,,,,,,,
Florence Rena Sabin,,Louise Frazee,,recommends ,,,"use letetr dated June 6th, 1917 from Maude E. Abbott enquiring about Dr. Frazee based on Sabin's recommendation. ","Dr. Louise Frazee, Johns Hopkins graduate, working in clinical microscopy, Wassermann technique, etc… In 1917 Dr. Frazee is tryin gto go to France to help in the war and is seeking an appointment with the Canadian Army Medical Service.",,,mentor relationship,,
Florence Rena Sabin,,Ethel Mya Das,,women appearing in letters,"Series I, Box 1, Abbott, Maude E. letter from John Thomson, no date",,"this mention is an example of the type of ""accounting"" of where women in medicine were ""at"" between Sabin and her colleagues as they worked to find places for women to find professional sucess","Dr. Ethel Mya Das, ""an Indian with a Philadelphia Degree,"" ""just first rate"" (according to Sgd John Thomson) who is helping during the war from source: APSL, Sabin Papers, Series I Correspondents, John Thomson to Maude Abbott c 1917 letter, Folder ""Abbott, Maude E.""",,,worked in lab with,,
Florence Rena Sabin,,"J. Burns Amberson, Jr.",,corresponded with,,,,"J. Burns Amberson, Jr. Visiting Physician Bellevue Hospital Tuberculosis Service (1935)",,,published with,,
Florence Rena Sabin,,Christianna Smith,,corresponded with|recommends,,1926-1938,,"Christianna Smith, Mt Holyoke College (1929), department of zoology. Lots of correspondence recommending her.",,,worked at same institution as,,
Florence Rena Sabin,,Elizabaeth Reese Wilkens,,corresponded with|requested reprints,"Series I, Box 25",1925-1928,,"Dr. Elizabaeth Reese Wilkens, ""monocyte counting at Maryland State Sanitorium."" ",,,used this person's scientific contribution,,
Florence Rena Sabin,,Rudolph J. Anderson,,corresponded with|used each other's research,"Series 1, Box 1, 12 folders",1928-1942|1928-1942,,"Rudolph J. Anderson, Yale University, Department of Chemistry (1927-1942 corresponded together) over 12 folders of correspondence, mostly about FRS's experiments with rabbits and guinea pigs and TB testing.  They discussed samples, sent each other medical samples and share techniques for sampling specimens. This wikipedia article does not mention his collab with FRS, but it does state he worked on TB. https://en.wikipedia.org/wiki/Rudolph_John_Anderson",,,asks for introduction,,
Lowell J. Reed,,Persis Putnam,,received letter of recommendation about,"Series I, Box 4",,,"Dr Persis Putnam, Lowell J. Reed recommends Dr. Putnam for a prize administered at Johns Hopkins U , Janet Howell Clark forwards the name to FRS(in folder Clark, Janet Howell). Series I, Box 4",,,asks for advice,,
Florence Rena Sabin,,Ethel C. Dunham,,corresponded with,"Series 1, Box 7",1926-1927,,"Dr. Ethel C. Dunham, New Haven Hospital, New Haven, Conn. And Yale University, Department of Pediatrics. ",,,used each other's research,,
Florence Rena Sabin,,Franz Boas,,corresponded with,,,,"Franz Boas, Columbia University, 1933-38 about the problem of scientifically disputing Nazi propoganda",,,requested reprints,,
Lowell J. Reed,,Dorothy Wiehl,,recommends ,"Series I, Box 4",,,"Miss Dorothy Wiehl - statstical staff of Milbank Memorial Fund, working with Sydenstricker, has pulicaitions. Lowell Reed recommends her for a prize administered at Johns Hopkins U (in folder Clark, Janet Howell). Janet Howell Clark passes along the recommendation to FRS.",,,,,
Florence Rena Sabin,,Dorothy Wiehl,,received letter of recommendation about,,,,,,,,,
Florence Rena Sabin,,Dorothy H. Anderson,,asks for advice|mentor relationship|recommends,"Series I, Box 1. ",1928| 1928|1925,"Feature the letter from May 24, 1928 where Anderson asks for advice and refers to herself as a ""prodigal daughter of research"" - really shows how women relied on Sabin to help direct and support them.","Dorothy Anderson in the department of Pathology of Columbia University under J.W. Jobling. Head of the Department of Pathology of the Babies Hospital. She has excellent work in endicronology (1939). Series I, Box 1; a letter from Dorothy H. Anderson, Strong Hospital, Rochester, NY asking for a suggestin of where to work. No return letter. Anderson is listed by Sabin as being a woman of science in her letter to Anna E. Holman, Series I, Box 11 ",,,,,
Florence Rena Sabin,,C. H. Boissevain,,corresponded with|requested reprints|used each other's research,,1931-1937| 1932,,"Dr C.H. Boissevain, Broadmoor, Colorado Springs, Colorado",,,,,
Florence Rena Sabin,,Dorothea Schallert Fuller,,corresponded with|mentor relationship,1934-38,1934-38,,"Dorothea Schallert Fuller, has a LOR written by Kenneth C. Smithburn to go to study tropical medicine in Puerto Rico. She published an article ""A Note on the Staining of Tubercle Bacilli in Sections"" for the Journal of Laboratory and Clinical Medicine, Sabin writes to Dr. Gasser, head of Rockefeller Institute in 1937 to ask if it is ok that Mrs Fuller publish her article. ""Mrs Fuller who does all of our section cutting, as you know, has worked out a method for staining tubercle bacilli which we have found of such value that we want her to publish it... She has a Master's degree and has done part of the work for a Doctor's degree."" June 8, 1937, Herbert S. Gasser 1936-39, Box 9.",,,,,
Kenneth C. Smithburn,,Dorothea Schallert Fuller,,recommends ,"Herbert S. Gasser 1936-39, Box 9.","6/8/1937, August 4, 1938","6/8/1937, another recommendation from Smithburn in Fuller's folder dated August 4, 1938",,,,,,
Florence Rena Sabin,,Kenneth C. Smithburn,,recommends|published with,"Series 1, Box 1, Anderson, Rudolph J. folder. Document dated June 11, 1938","6/11/1938| 1932, 1933, 1934",,FRS recommends Kenneth Smithburn for Theobald Smith Award of the American Association for the Advancement of Science,,,,,
Florence Rena Sabin,,Roxie Weber,,women appearing in letters,,,,"Doctor Roxie Weber resign her position as director of the Clinical Laboratory at Sinai Hospital, Baltimore",,,,,
Florence Rena Sabin,,Alfred E. Cohn,,corresponded with,,1920-1941,,Hospital of the Rockefeller Institute,,,,,
Florence Rena Sabin,,Leanna Meanes,,women appearing in letters,,,,Meanes is a medical doctor asking for recommendations for the Agamede Medal. Sabin writes a brief reply recommending Hamilton and Simmonds.,,,,,
Leanna Meanes,,Alice Hamilton,,received letter of recommendation about,,,,,,,,,
