person,id
Dr. Cathryn Riley,R7166
Dr. Nina Simmonds,S3878
H. Gideon Wells,W2595
Dr. Gladys Dick,D3937
Rudolph J. Anderson,A2960
Mildred Cohn,C7085
Lillian Welsh,W7324
Dr. W.E. Cotton,C3846
Treat B. Johnson,J0667
Miss Mary Denton,D0273
Dr. Rosette Coidan,C3484
Eva Soto Figueroa Leake,L6898
Dr. Dorothy H. Heilman,H9590
Lewis H. Weed ,W6536
Elsie S. L'Esprence,L0941
"Dr. Catherine Macfarlane,",M9377
Arda Green,G1823
Dr. Matilda Moldenhauer Brooks,B7688
Dr. Margaret Hotchkiss,H2761
Nancy Aiken,A8508
Sarah Ratner,R5662
Louise Pearce,P3146
Maxine F. Singer,S3942
Elaine Ralli,R0687
Eileen Jaffe,J0310
Hadassa Degani,D7761
Norma LeVoque,L1993
Agnes Saunders Riley,R8201
Austin L. Joyner,J9140
Dr. H. J. Corper,C0633
Dr. Susan Souther,S1224
"Cohn recomments Kayne for membership in the American Society of Biological Chemists, as well as for Assistant Professor at University of Pennsylvania in 1975, and then for a molecular bioligist in 1977 at Colorado State University, again in 1976 she recommends her to Bryn Mawr (see ""Z"" folder). Kayne worked with Cohn in her laboratory.",l5009
Wilma Hu,H8899
Dr. Regina C. Beck,B1070
Peter Starlinger,S2217
Franz Boas,B2504
Mary L. Petermann,P7482
Dr. Gladys Hobby,H5307
Dr. Doris A. Murray,M0813
Mary C. Pangborn,P5625
Claude E. Forkner,F6156
Barbara J. Garrison,G4078
Dr. Esther Richards,R4391
John Faquhar Fulton,F9860
Evelyn B. Man,M5275
Mrs Denison,D5019
Miss Caroline McGill,M9432
Cynthia Pierce-Chase,P4250
Paul D. Boyer,B6001
Carrie B. Fuld,F6246
Marianne Grunberg-Manago,G0983
Professor Johanna Westerdijk,W0162
Mrs Buchanan,B8558
Patricia Lo Presti,P9687
Elizabeth Stewart,S1154
Miss Florence Peebles,P2748
Lowell J. Reed,R5673
Maud L. Menten,M7109
Jane H. Park,P3221
Franklin P. Mall,M8670
Joshua Lederberg,L9119
Helen Dean King,K9551
Bruce K. Wiseman,W8987
Karin Norlen,N4365
Mrs Franklin N. Daskam,D0520
Irene Diller,D2842
Virginia C. Gildersleeve,G5374
Albert Einstein,E7356
Dr. Hal Downey,D2026
Sarah Tower,T4531
Anita Klein,K4342
Maria Luisa Martinez,M7116
Nancy Shepherd,S7924
Dorothea Schallert Fuller,F1161
Dr. E.V. Cowdry,C0256
Dr. Martha Tracy,T7029
Anne H. Plettinger,P5617
Miss M. A. Nutting,N5709
Mamie Cameron,C2527
Dr. Alice Hamilton,H7964
Teresina Patino,P6878
Marion Hines,H1257
Miss Caroline B. Thompson,T4846
Abraham Flexner,F2967
Virginia Livingston,L8432
Dr Hertha Sponer,S1435
Dr. Ethel C. Dunham,D5107
George L. Streeter,S5326
Christine Zioudrou,Z0285
Rhoda Erdmann,E1307
Kate Campbell Mead,M1779
Dr. Persis Putnam,P9053
Dr. George Washington Corner,C6086
Dr. Marietta Blau,B2396
Hannelore Diefenbach,D8577
Kenneth Paigen,P4348
James R. Cash,C9054
George Richards Minot,M5167
Margaret Pittman,P8547
Floyd M. Feldmann,F9491
Carroll E. Palmer,P2853
Gerty T. Cori,C3119
Thelma B. Dunn,D1515
Dorothy H. Anderson,A7121
Dr. Elizabaeth Reese Wilkens,W5448
Phyllis Q. Edwards,E8874
Therese Godefroy,G3055
