Name,Date of Birth,Place of Birth,Date of Death,Place of Death,Educational Instution Attended,Employer,Advisers/Mentors,Society/Trade Membership,Publications,Awards and Honorifics Received,Keywords:,Correspondents of Note: ,Writes a letter of recommendation for: ,Women who appear in the letters: ,Interesting finds,,,Confusions? 
Florence Rena Sabin,1871/11/09,"Central City, Colorado",3-Oct-53,,"Vermont Academy, Saxton's River, Vermont (class 1869)",Johns Hopkins School of Medicine,Franklin P. Mall,"Invited to join the American Academy of Political and Social Science in September 1935, regrets she can't join, ABSL, Sabin Papers, Series I Correspondents, Folder 1, September 9, 1935 letter","Journal of Experimental Medicine, August 1, 1932, source: APSL, Sabin Papers, Series I Correspondents, CF Adams Letter, Folder 1","honored by Oglethorpe University, May 20, 1935, source: APSL, Sabin Papers, Series I Correspondents, Dr. William Willis Anderson letter, Folder 1",,"Maude E. Abbott, Medical Museum, McGill University, Montreal, wrote to each other about posts for women students","Dr. Louise Frazee, Johns Hopkins graduate, working in clinical microscopy, Wassermann technique, etc…","Dr. Ethel Mya Das, ""an Indian with a Philadelphia Degree,"" ""just first rate"" who is helping during the war from source: APSL, Sabin Papers, Series I Correspondents, John Thomson to Maude Abbott c 1917 letter, Folder ""Abbott, Maude E.""","A letter from the Atlantic Monthly referring to Dr. Sabin as ""him"" or ""his.""","A letter from William A. Groat where he reflects on her visit to Syracuse and says he fears she ""did not much enjoy the minstral show (deletions were made for the second night and nothing that was eliminated was really funny) but I insisted that you and Dr. Dutcher and all the other MDs stood up to it nad enjoyed it.""",,Who is Miss Simpson? Apparently she contributed to the supravital technique and Sabin always mentions she should also be included in publication titles. 
Florence Rena Sabin,,,,,Smith College,"Rockerfeller Institute for Medical Research, New York (first woman at)",William Osler,First woman elected to the National Academy of Sciences,"""Studies on Tuburculosis"" written with Dr Doan and Dr Forkner","elected as an active member of the American and Canadian Section of the International Association of Medical Museums, 1924, APSL, Sabin Papers, Series I Correspondents,Maude E. Abbott folder, Series 1",,"J. Burns Amberson, Jr. Visiting Physician Bellevue Hospital Tuberculosis Service (1935)","Christianna Smith, Mt Holyoke College (1929), department of zoology. Lots of correspondence recommending her. ","Dr. Elizabaeth Reese Wilkens, ""monocyte counting at Maryland State Sanitorium."" Series I, Box 25","A letter from Marcella Boveri (holds the Naples Table in 1912) from Stuttgart and Wurzburg. Saying ""Even if I return to teach here, I shall always go over for vacation from June to Sept.""",,,
Florence Rena Sabin,,,,,Johns Hopkins (class 1900),,"Carrie B. Fuld, wife of Felix Fuld, writes that she feels she ""discovered"" Sabin long ago. Letter dated Dec 10, 1935 in ""F 1919-1941 folder""",American Association of Anatomists (first female president),"""A Theory of the Relation of the Reticulo-Endothelial System to Antibody Formation"" AAAS-Heart Symposium","listed in the Salem College's ""Sights and Insights"" year book under ""Great Women of the United States"" for 1935, APSL, Sabin Papers, Series I Correspondents, Adams, Frances folder",,"J. Rudolph Anderson, Yale University, Department of Chemistry (1927-1942 corresponded together)","Dr Persis Putnam,a woman named Janet Howell Clark recommends her for a prize administered through Lowell J. Reed at Johns Hopkins U (in folder Clark, Janet Howell). Series I, Box 4","Dr. Ethel C. Dunham, New Haven Hospital, New Haven, Conn. And Yale University, Department of Pediatrics. Series 1, Box 7","A letter from Alice M. Boring (on Wellesley College letter head, dept of zology and physiology) April 23, 1922 mentioning that ""It is certainly appropriate that the first winner of the Ellen Ricahrds Research prize should be interested in the second."" Also mentions Dr. Mary Hogue and Miss N.M. Stevens (perhaps a professor at Wellesley)","A leter from Marion C. Heffernan, of Walton High School in the Bronx, emails Sabin to ask what she thinks of a school for teaching science to high school girls",,
Florence Rena Sabin,,,,,,,,member of research committee of the National Tuberculosis Association,,"invited to submit her published works to the American Library in Honor of Pasteur at University of Strasbourg, France",,"Franz Boas, Columbia University, 1933-38 about the problem of scientifically disputing Nazi propoganda ","Miss Dorothy Wiehl - statstical staff of Milbank Memorial Fund, working with Sydenstricker, has pulicaitions. a woman named Janet Howell Clark recommends her for a prize administered through Lowell J. Reed at Johns Hopkins U (in folder Clark, Janet Howell).","a letter from Dorothy H. Anderson, Strong Hospital, Rochester, NY asking for a suggestin of where to work. No return letter. Anderson is listed by Sabin as being a woman of science in her letter to Anna E. Holman, Series I, Box 11","A letter from S. Josephine Baker asking Sabin to ask for money from ''Mrs Fuld"" which Sabin refuses. ","In a letter to Marion Hines, Sabin says ""You have sized up Evans to perfection. Nobody can ever tell about him and I judge that he wasn't really fair to Katherine Scott. She did lots of his good work, made lots of the good observations and lost out in the end. He used her and then let her go."" Letter dated January 6, 1925. ",,
Florence Rena Sabin,,,,,,,,elected into the Harvey Society ,,"Invited to serve as delegate for the American Association for the Advancement of Science at Mount Holyoke College, May 7-8, 1937",,"Dr C.H. Boissevain, Broadmoor, Colorado Springs, Colorado ","Dorothea Schallert Fuller, has a LOR written by Kenneth C. Smithburn to go to study tropical medicine in Puerto Rico. She published an article ""A Note on the Staining of Tubercle Bacilli in Sections"" for the Journal of Laboratory and Clinical Medicine, Sabin writes to Dr. Gasser, head of Rockefeller Institute in 1937 to ask if it is ok that Mrs Fuller publish her article. ""Mrs Fuller who does all of our section cutting, as you know, has worked oua a method for staining tubercle bacilli which we have found of such value that we want her to publish it... She has a Master's degree and has done part of the work for a Doctor's degree."" June 8, 1937, Herbert S. Gasser 1936-39, Box 9.","Doctor Roxie Weber resign her position as director of the Clinical Laboratory at Sinai Hospital, Baltimore","A letter from Mary R. Beard writing under the Leadership Institute letterhead (which turned out to be a corrupt, bankrupt endeavor) asking Sabin for an article on leadership. Sabin's issue will be with Einstein, Karl Crompton of MIT and Isabelle Story of the NPS.","In another letter to Hines, Sabin says ""I fear that getting married makes a considerable complication to the studying of medicine. A few of our students try it but it is pretty hard to manage. Sometimes the woman keeps on working and helps out a lot."" January 29, 1925, Marion Hines folder.",,
Florence Rena Sabin,,,,,,,,,,"at her death, University of Colorado named the Department of Medicine as the Florence R. Sabin Building for Research in Cellular Biology",,"Dr. Alfred E. Cohn, Hospital of the Rockefeller Institute","writes to Dr Lenna Meanes that she recommedns Dr. Alice Hamilton for the Agamede Medal, as well as Dr. Nina Simmonds of Baltimore","Dr. Anna Baetjer, Department of Physiological Hygeine. A letter dated June 10, 1935 includes a recommendation from Dr. Meyer (male). Copies made of rec. Also found in Anna E. Holman folder, Series 1, Box 11. Also mentioned in the ""Jacqua, Ernest J"" folder, Series I, Box 11.","One letter from Mary E Boretz, Foster Home Bureau, The New York Association for Jewish Children, 1942, saying she had worked with Sabin's sister at E Denver High School ","Florence Sabin seems to have reviewed the book by Edith Houghton Hooker, The Laws of Sex (Boston: Richard G. Badger, 1921)",,
Florence Rena Sabin,,,,,,,,,,"invited to be the Chair of Anatomy in the Women's Medical College, London (declined)",,"Dr. H. J. Corper, National Jewish Hospital, Denver, Colorado ","reccomends Miss Elizabeth Stewart for a fellowship at AAUW - in 1938 Elizabeth Stewart had plans to work first in Mexico, then at University of Chicago.","Miss Elizabeth Stewardt, received PhD in Mayan research from Johns Hopkins. Series I, Box 26","A letter from Carlos Rinherio Chagas, Brazil, thanking Sabin for all her help. He is  at Bello Horizonte Medical School (date unclear)","In a letter to Dr Elise L'Esperance (Cornell), Sabin writes that she does not ""feel the need of a medical women's journal and that I felt it much sounder for women to join in the general organization and had no separate organization of their own. As you know, from the very start all the anatomical women went into the general organization and had no separate organization of their own and now I think their position is very much sounder than that of the clinical group who have kept up their sepcial organization. In letters to the Medical Women's National Association president Catherine MacFarland, Sabin declines to serve on the advisory board and says she's ""skeptical"" of the whole endeavor."" September, 1936. In a letter 9/9/35, she writes to Dr Kate Campbell Mead (in Haddam, Ct) that she only joined ""at the request of Doctor Josephine Baker""",,
Florence Rena Sabin,,,,,,,,,,gave the speech to welcome madame Curie in 1921 to the ACA/AAUW,,"Dr. George Washington Corner, University of Rochester, 1925-1938",,"Dr. Margaret Taylor Ross, Physician-in-charge at Brigham Hall Hospital, Canandaigua, NY, she was a resident at Syraucse Psychopathic Hospital, May 1, 1940","A letter to Professor Reinhard Dohrn, director of the Naples Table Station, recommending. Miss Mabel Hedge (Jan 8, 1927, D folder)","A letter from Margaret E. Maltby (1917) on ACA letterhead about the Fellowship committee - saying that ""Mrs Franklin"" was not the one to head up the committee. ",,
Florence Rena Sabin,,,,,,,,,,University of Pennsylvania gave her an honorary degree,,"Dr. W.E. Cotton, superintendent of the Experiment Station, USDA",,,A letter from Sabin to Cecelia Goldstein outlining why she supported the Equal Rights Amendment - in box 9.,"A letter from Harvard College Observatory director Harlow Shapley recommending first Miss Cannon for the Ellen Swallow Richards Prize, and if not her, then Miss Payne - see Dava Sobel book about ladies in Harvard Laboratory",,
Florence Rena Sabin,,,,,,,,,,Good Housekeeping Magazine elected her as one of 12 remarkable women in 1931.,,"Dr. E.V. Cowdry, 1930-32",,"Dr. Elizabeth Bass, Tulane University of Louisiana, school of medicine, 1940. Series I, Box 2",,"In folder Naples Table Association 1932-33 a document lists that the Association to Aid Scientific Research by Women is dissolved in 1932 with the last two awards going to Anna Jump Cannon of Harvard Observatory and Dr. Helen Dean King, member of the Wistar Institute. ""WHEREAS, the objects for which this Association has worked for thirty-five years have now been achieved, since women are given opportunities to engage in cientific research on an equality with men, and to gain recognition for their achievements, be it RESOLVED that this Association cease to exist after the adjournment of this meeting."" ",,
